id	name	description	level	pp
1	Martial	Your start with 1 Focus Point and your FP increases as shown in the Hunter Class Table. You also known Manuevers as shown in the table.	0	0.1667
2	Hunting Weapon Proficiency	You are Proficient with Daggers and Spears.	0	0
3	Ranged Weapon Proficiency	You are Proficient with Bows, Crossbows, and Muskets.	0	0
4	Hunter's Focus	You regain half of your FP when:\\n- You roll a Perception checks and successfully spot a hidden creature.\\n- Once per round, when you Hit the target of your Hunter's Mark with an Attack.\\n- The target of your Hunter's Mark is reduced to 0 HP or dies.	1	0
5	Hunter's Mark	You can spend 1 AP and 1 FP to focus on and mark a creature as the Target of your Hunter's Mark. Alternatively, you can Target a creature by studying its tracks for at least 1 minute. While a creature is Targetted, you gain the following benefits:\\n- You have ADV on Perception and Survival Checks to find your Target.\\n- The first weapon attack you make against your Target has ADV and ignores Physical Damage Reduction.\\n- When you score a Heavy or Critical Hit against your Target you automatically grant a d8 Help Die to the next Attack made against the target before the start of your next turn.\\n \\nYou lose your Target if you complete a Long Rest, fall Unconscious, or use this feature again to mark another creature.	1	0
6	Favored Terrain	Your experience with specific Terrain has led you to have some useful skills. Choose one of the following Favored Terrain to gain its benefits:\\n- Coast: You can hold your breath twice as long as normal and have ADV on Perception Checks while underwater.\\n- Forest: You gain Proficiency in 2 of the following Skills - Perception, Survival, and Stealth.\\n- Grassland: Your Speed and Jump Distance increases by 1.\\n- Urban: You gain Proficiency in one of the following Skills - Persuasion, Deception, Insight, History, or Slight-of-Hand. Furthermore, you ignore Difficult Terrain in Urban Areas.\\n\\n Additionally, while you're in your Favored Terrain, you have ADV on Stealth and Survial Checks.	1	0
7	Hunter's Strike	You can spend 1 SP as part of a Weapon Attack to add 1 of the effects listed below. You must declare you are using this ability before you know the results of the roll. You can only use 1 of these effects per Attack. The effect only occurs on a successful Attack. If the effect forces the target to make a Save, it does so against your Save DC:\\n- Deep Cut: You deal an additional point of Piercing damage and the target must make a Physical Save against your Save DC. On a failed Save, the target gains the Bleeding Condition for 1 minute.\\n- Weighted Blow: You deal an additional point of Bludgeoning damage and the target must make a Physical Save or fall prone.\\n- Rending Blow: You deal an additional point of Slashing damage and the target must make a Physical Save or gain a level of the Slowed condition until the end of your next turn. 	2	1
8	Hunting Style	At level three, you choose your subclass, known as Hunting Style.	3	0
9	Additional Feat	You gain access to 1 Feat of your choice.	4	0
10	Second Attack	When you make Attacks in Combat, you do not gain a level of DIS until after your 2nd Attack action during the same round.	5	0.25
11	Favored Weapon	Choose a weapon. Add +1 to Attacks made with that weapon.	5	0.33
