id	species_id	name	description	pp
1	1	Keen Nose	This creature has ADV on Checks that rely on its sense of smell.	0.3125
2	1	Pack Hunter	A number of times equal to this creature's Proficiency per day, it can give itself or an ally ADV on an attack if it is adjacent to them.	0.7143
3	1	Protect the Pack	Once per Long Rest, if an Attack is going to hit an adjacent creature, this creature can swap places with them making itself the target of the attack instead.	0
4	2	Sharp Claws	When this creature makes an Unarmed Attack its base damage is 1 and the damage type can be Bludgeoning or Slashing.	0.33
5	2	Prowler	This creature has ADV on Stealth Checks.	0.3125
6	2	Land on Its Feet	This creature takes 1 less damage from Falling and has ADV against effects and Saves that would make it fall Prone.	0.64
7	3	Flexible Skeleton	This creature suffers no Speed penalty for squeezing into a space that is only large enough for a creature that is one size smaller than it.	0
8	3	Prey Instinct	This creature has ADV on checks and saves against being Grappled and on Saves to avoid traps.	0.3125
9	3	Keen Nose	This creature has ADV on Checks that rely on its sense of smell.	0.3125
10	4	Hollow Bones	This creature takes 1 less damage from Falling, but it has DIS on saves or checks to avoid being forcibly moved.	0.02
11	4	Flight	If this creature's arms/wings are not constrained or holding an object and it is not wearing Heavy Armor, it has a Flight speed equal to half of its normal Speed. While flying it can hold objects in its talons.	0.5
12	4	Keen Eyes	This creature has ADV on checks that require sight.	0.3125
